trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data
trip-153671440490445199,IND140501AAA,IND160002AAC,Carting,2018-09-12 01:06:44.904707,2018-09-12 07:36:00.152620,2018-09-12 08:38:04.516365,43.0,17.0,20.4357,9.507837118796193,training
trip-153671440490445199,IND160002AAC,IND134203AAA,Carting,2018-09-12 01:06:44.904707,2018-09-12 01:06:44.904707,2018-09-12 03:55:15.023521,104.0,47.0,52.543800000000005,38.91740130167434,training
trip-153671448965568596,IND160002AAC,IND000000ACA,FTL,2018-09-12 01:08:09.655965,2018-09-12 01:08:09.655965,2018-09-12 05:44:58.798163,130.0,68.0,97.4199,89.2423484341077,training
trip-153671453267549065,IND382715AAA,IND382430AAB,FTL,2018-09-12 01:08:52.675715,2018-09-12 03:03:37.608843,2018-09-12 05:14:28.306437,101.0,54.0,60.9038,49.32990664946911,training
trip-153671453267549065,IND384205AAA,IND382715AAA,FTL,2018-09-12 01:08:52.675715,2018-09-12 01:08:52.675715,2018-09-12 03:03:37.608843,67.0,39.0,41.9214,35.32619829479312,training
trip-153671453614506281,IND484001AAA,IND484446AAA,FTL,2018-09-12 01:08:56.145442,2018-09-12 07:24:53.862254,2018-09-12 10:22:50.788855,149.0,77.0,105.2935,76.55368909570691,training
trip-153671453614506281,IND484446AAA,IND842003AAB,FTL,2018-09-12 01:08:56.145442,2018-09-12 10:22:50.788855,2018-09-12 23:47:49.909915,476.0,235.0,323.7721,219.4817484144812,training
trip-153671464491487828,IND600044AAE,IND600056AAB,Carting,2018-09-12 01:10:44.915124,2018-09-12 01:10:44.915124,2018-09-12 05:30:48.970190,71.0,35.0,37.9124,24.901134702814723,training
trip-153671494219272400,IND431514AAA,IND431515AAA,FTL,2018-09-12 01:15:42.192953,2018-09-12 04:33:40.913857,2018-09-12 05:55:20.388407,44.0,21.0,30.884,28.25560570805812,training
trip-153671494219272400,IND431515AAA,IND431517AAB,FTL,2018-09-12 01:15:42.192953,2018-09-12 05:55:20.388407,2018-09-12 07:13:51.236548,41.0,14.0,20.5462,17.2480967670579,training
trip-153671494219272400,IND431517AAB,IND411033AAA,FTL,2018-09-12 01:15:42.192953,2018-09-12 07:13:51.236548,2018-09-12 19:05:24.368478,685.0,234.0,320.1666,278.4190769547295,training
