trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data,source_hub,source_degree_centrality,source_betweenness_centrality,source_in_degree,source_out_degree,destination_hub,destination_degree_centrality,destination_betweenness_centrality,destination_in_degree,destination_out_degree,corridor_trip_count,corridor_delay_ratio,trip_hour,trip_dayofweek,trip_month,distance_per_hour,network_risk_score
trip-153671224643574839,IND422605AAA,IND413709AAA,0,2018-09-12 00:30:46.435980,2018-09-12 03:13:38.555321,2018-09-12 04:54:11.610414,77.0,45.0,49.6014,46.38738002369583,training,IND422605AAA,0.001258653241032,0.0001967884130982,1.0,1.0,IND413709AAA,0.0025173064820641,0.0,2.0,2.0,7.0,1.891304347826087,0,2,9,1.1022533333333333,0.00037218678129442173
trip-153671224643574839,IND423109AAA,IND423601AAA,0,2018-09-12 00:30:46.435980,2018-09-12 06:15:00.019695,2018-09-12 07:18:36.630134,54.0,10.0,13.4946,12.917889335732108,training,IND423109AAA,0.0018879798615481,0.0009839420654911,2.0,1.0,IND423601AAA,0.0018879798615481,0.0005903652392947,1.0,2.0,10.0,2.388888888888889,0,2,9,1.34946,0.003760845228099411
trip-153671224643574839,IND423601AAA,IND423701AAB,0,2018-09-12 00:30:46.435980,2018-09-12 07:18:36.630134,2018-09-12 08:27:59.715905,46.0,26.0,34.336400000000005,24.174112262276463,training,IND423601AAA,0.0018879798615481,0.0005903652392947,1.0,2.0,IND423701AAB,0.0018879798615481,0.0,2.0,1.0,8.0,2.1666666666666665,0,2,9,1.3206307692307695,0.0012791246851385164
trip-153671224643574839,IND423701AAB,IND422011AAD,0,2018-09-12 00:30:46.435980,2018-09-12 08:27:59.715905,2018-09-12 11:21:24.531753,158.0,88.0,118.2709,95.86770414931748,training,IND423701AAB,0.0018879798615481,0.0,2.0,1.0,IND422011AAD,0.0031466331025802,0.0023614609571788,2.0,3.0,12.0,2.3072289156626504,0,2,9,1.3439875,0.005448431003611327
trip-153671225291120891,IND712103AAA,IND712310AAE,0,2018-09-12 00:30:52.911478,2018-09-12 03:09:08.473151,2018-09-12 06:05:06.863852,138.0,30.0,32.017900000000004,27.731212129519008,training,IND712103AAA,0.001258653241032,2.21510575547764e-05,1.0,1.0,IND712310AAE,0.0044052863436123,0.0032115869017632,4.0,3.0,18.0,3.583333333333333,0,2,9,1.0672633333333335,0.011587561020889413
trip-153671225291120891,IND712124AAA,IND712103AAA,0,2018-09-12 00:30:52.911478,2018-09-12 02:16:17.710493,2018-09-12 03:09:08.473151,32.0,10.0,11.0795,10.498118563412763,training,IND712124AAA,0.001258653241032,0.0004018834727795,1.0,1.0,IND712103AAA,0.001258653241032,2.21510575547764e-05,1.0,1.0,20.0,2.8181818181818183,0,2,9,1.10795,0.0011950064036693245
trip-153671225291120891,IND712310AAE,IND712124AAA,0,2018-09-12 00:30:52.911478,2018-09-12 00:30:52.911478,2018-09-12 02:16:17.710493,52.0,18.0,19.0096,14.68967889903358,training,IND712310AAE,0.0044052863436123,0.0032115869017632,4.0,3.0,IND712124AAA,0.001258653241032,0.0004018834727795,1.0,1.0,21.0,3.5789473684210527,0,2,9,1.0560888888888889,0.012932420287837032
trip-153671236229420701,IND515301AAA,IND561202AAB,0,2018-09-12 00:32:42.294456,2018-09-12 03:39:46.703070,2018-09-12 04:17:37.786512,28.0,17.0,17.391,16.457989722683283,training,IND515301AAA,0.001258653241032,0.0003935768261964,1.0,1.0,IND561202AAB,0.001258653241032,0.0,1.0,1.0,12.0,1.7352941176470589,0,2,9,1.023,0.0006829715513408118
trip-153671236229420701,IND561202AAB,IND515134AAA,0,2018-09-12 00:32:42.294456,2018-09-12 04:17:37.786512,2018-09-12 06:07:33.588747,109.0,65.0,66.2031,56.65237637644195,training,IND561202AAB,0.001258653241032,0.0,1.0,1.0,IND515134AAA,0.0031466331025802,0.0011807304785894,3.0,2.0,11.0,1.8153846153846156,0,2,9,1.018509230769231,0.002143479945746911
trip-153671237597058150,IND785690AAB,IND785682AAA,0,2018-09-12 00:32:55.970840,2018-09-12 03:48:42.530167,2018-09-12 08:00:47.150111,241.0,33.0,46.9087,39.49595428448995,training,IND785690AAB,0.001258653241032,0.0,1.0,1.0,IND785682AAA,0.0025173064820641,0.0085534726529372,2.0,2.0,10.0,4.454545454545454,0,2,9,1.4214757575757577,0.038101832726720256
trip-153671240266732246,IND560300AAA,IND560099AAB,0,2018-09-12 00:33:22.667576,2018-09-12 00:33:22.667576,2018-09-12 04:57:47.967761,194.0,57.0,53.1902,42.24030467720917,training,IND560300AAA,0.0100692259282567,0.005933564231738,4.0,12.0,IND560099AAB,0.0163624921334172,0.0018209487825356,11.0,15.0,61.0,2.3859649122807016,0,2,9,0.9331614035087719,0.018501995963880868
trip-153671256526597871,IND560300AAA,IND562132AAA,0,2018-09-12 00:36:05.266352,2018-09-12 00:36:05.266352,2018-09-12 04:39:52.116304,162.0,53.0,43.5805,28.70624006705569,training,IND560300AAA,0.0100692259282567,0.005933564231738,4.0,12.0,IND562132AAA,0.0446821900566394,0.0993643922630439,36.0,35.0,73.0,1.7843137254901962,0,2,9,0.8222735849056604,0.1878845890397089
trip-153671262893947351,IND500055AAC,IND501401AAC,0,2018-09-12 00:37:08.939733,2018-09-12 01:05:52.573005,2018-09-12 02:05:34.840021,30.0,12.0,16.0049,14.85920055596232,training,IND500055AAC,0.000629326620516,0.0,0.0,1.0,IND501401AAC,0.0018879798615481,0.0,2.0,1.0,9.0,2.090909090909091,0,2,9,1.3337416666666666,0.0
trip-153671262893947351,IND501401AAC,IND500010AAA,0,2018-09-12 00:37:08.939733,2018-09-12 02:05:34.840021,2018-09-12 05:35:54.020732,165.0,14.0,14.459700000000002,9.499885115345776,training,IND501401AAC,0.0018879798615481,0.0,2.0,1.0,IND500010AAA,0.0031466331025802,0.0007847803247977,3.0,2.0,10.0,7.142857142857143,0,2,9,1.0328357142857143,0.005605573748555
trip-153671277074687197,IND624001AAA,IND624619AAA,1,2018-09-12 00:39:30.747127,2018-09-12 00:39:30.747127,2018-09-12 01:32:05.649177,40.0,26.0,27.8573,26.534937687687428,training,IND624001AAA,0.0018879798615481,0.0,1.0,2.0,IND624619AAA,0.001258653241032,1.2594458438287154e-05,1.0,1.0,8.0,1.4545454545454546,0,2,9,1.0714346153846153,1.8319212273872225e-05
trip-153671277074687197,IND624101AAA,IND624202AAA,1,2018-09-12 00:39:30.747127,2018-09-12 04:51:38.550800,2018-09-12 06:45:07.329780,87.0,119.0,55.1577,29.66560285554505,training,IND624101AAA,0.001258653241032,6.297229219143577e-06,1.0,1.0,IND624202AAA,0.001258653241032,3.1486146095717885e-06,1.0,1.0,8.0,0.7053941908713693,0,2,9,0.46351008403361343,6.663043364653993e-06
