source_center,destination_center,trip_count,actual_time,osrm_time,delay_ratio
IND591302AAB,IND580028AAA,5,150.0,81.0,1.8518518518518519
IND591304AAA,IND586101AAA,8,99.5,67.0,1.4850746268656716
IND591304AAA,IND586101AAB,2,98.5,66.0,1.4924242424242424
IND591307AAC,IND580002AAA,2,224.5,89.0,2.5224719101123596
IND591307AAC,IND580028AAA,2,287.5,109.5,2.625570776255708
IND600004AAA,IND600008AAC,2,78.5,13.5,5.814814814814815
IND600008AAA,IND600044AAC,11,82.0,37.0,2.2162162162162162
IND600008AAC,IND600004AAA,1,33.0,14.0,2.357142857142857
IND600008AAC,IND600056AAB,11,91.0,37.0,2.4594594594594597
IND600016AAA,IND600119AAA,4,44.0,26.0,1.6923076923076923
IND600016AAB,IND600044AAC,18,68.0,33.0,2.0606060606060606
IND600016AAC,IND600056AAB,1,74.0,33.0,2.242424242424242
IND600016AAC,IND600119AAA,6,50.0,32.0,1.5625
IND600032AAB,IND600008AAC,1,48.0,8.0,6.0
IND600032AAB,IND600044AAD,12,19.0,11.0,1.7272727272727273
IND600032AAB,IND600056AAB,45,60.0,33.0,1.8181818181818181
IND600032AAB,IND600076AAB,31,35.0,16.0,2.1875
IND600044AAD,IND600032AAB,7,31.0,11.0,2.8181818181818183
IND600044AAD,IND600048AAA,8,47.5,11.0,4.318181818181818
IND600044AAD,IND600056AAB,12,67.0,36.0,1.8611111111111112
IND600044AAD,IND603001AAA,10,84.5,30.0,2.816666666666667
IND600044AAD,IND603203AAA,2,60.5,16.5,3.6666666666666665
IND600044AAE,IND600056AAB,22,72.5,35.0,2.0714285714285716
IND600048AAA,IND600044AAD,1,25.0,11.0,2.272727272727273
IND600056AAA,IND602105AAB,4,39.5,12.5,3.16
IND600056AAB,IND501359AAE,5,876.0,486.0,1.8024691358024691
IND600056AAB,IND524003AAA,14,241.5,150.5,1.6046511627906976
IND600056AAB,IND530012AAA,2,1027.0,598.5,1.7159565580618212
IND600056AAB,IND560099AAB,13,404.0,235.0,1.7191489361702128
IND600056AAB,IND562132AAA,11,461.0,250.0,1.844
IND600056AAB,IND600008AAC,21,102.0,35.0,2.914285714285714
IND600056AAB,IND600016AAC,9,79.0,33.0,2.393939393939394
IND600056AAB,IND600032AAB,36,72.0,33.0,2.1818181818181817
IND600056AAB,IND600044AAD,4,59.5,34.5,1.7246376811594204
IND600056AAB,IND600044AAE,26,66.5,35.0,1.9
IND600056AAB,IND600076AAB,8,75.5,36.0,2.0972222222222223
IND600056AAB,IND600110AAA,20,96.0,37.0,2.5945945945945947
IND600056AAB,IND600116AAB,12,125.0,29.0,4.310344827586207
IND600056AAB,IND605010AAB,13,198.0,139.0,1.4244604316546763
IND600056AAB,IND605601AAA,6,181.0,135.0,1.3407407407407408
IND600056AAB,IND631501AAA,6,80.0,34.0,2.3529411764705883
IND600056AAB,IND632006AAA,13,144.0,84.0,1.7142857142857142
IND600056AAB,IND635802AAB,3,166.0,127.0,1.3070866141732282
IND600076AAB,IND600032AAB,13,46.0,18.0,2.5555555555555554
IND600076AAB,IND600056AAB,1,72.0,37.0,1.945945945945946
IND600083AAA,IND600116AAB,1,29.0,14.0,2.0714285714285716
IND600110AAA,IND600056AAB,6,84.5,37.0,2.2837837837837838
IND600110AAA,IND600056AAD,1,86.0,38.0,2.263157894736842
IND600116AAB,IND600056AAA,2,46.0,11.5,4.0
IND600116AAB,IND600056AAB,2,66.0,28.5,2.3157894736842106
IND600116AAB,IND602024AAA,7,74.0,18.0,4.111111111111111
IND600119AAA,IND600016AAC,5,76.0,20.0,3.8
IND602001AAA,IND600116AAB,1,74.0,29.0,2.5517241379310347
IND602001AAB,IND609001AAA,11,62.0,27.0,2.2962962962962963
IND602024AAA,IND600116AAB,3,64.0,17.0,3.764705882352941
IND602024AAA,IND602001AAA,6,28.0,11.0,2.5454545454545454
IND603001AAA,IND603301AAA,11,49.0,35.0,1.4
IND603102AAA,IND600056AAB,12,125.0,68.0,1.838235294117647
IND603203AAA,IND600044AAD,7,62.0,15.0,4.133333333333334
IND603203AAA,IND600048AAA,1,20.0,12.0,1.6666666666666667
IND603301AAA,IND600044AAD,11,139.0,58.0,2.396551724137931
IND604303AAA,IND603102AAA,4,75.0,39.0,1.9230769230769231
IND605010AAB,IND600056AAB,3,220.0,130.0,1.6923076923076923
